
2020-08-22T13:52:52.882Z,7,130817,40,255,8,00,71,8c,80,93,02,54,65
2020-08-22T13:52:52.882Z,7,130817,40,255,8,01,6d,70,65,72,61,74,75
2020-08-22T13:52:52.882Z,7,130817,40,255,8,02,72,65,00,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,03,20,20,20,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,04,20,20,20,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,05,20,20,01,02,00,4d,5a
2020-08-22T13:52:52.932Z,7,130817,40,255,8,06,31,36,39,34,43,00,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,07,20,44,65,63,20,20,37
2020-08-22T13:52:52.932Z,7,130817,40,255,8,08,20,32,30,31,36,00,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,09,20,20,20,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,0a,20,20,20,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,0b,20,20,20,20,20,31,33
2020-08-22T13:52:52.932Z,7,130817,40,255,8,0c,3a,35,34,3a,35,35,00
2020-08-22T13:52:52.932Z,7,130817,40,255,8,0d,20,20,20,20,20,20,20
2020-08-22T13:52:52.932Z,7,130817,40,255,8,0e,20,20,20,20,20,20,20
2020-08-22T13:52:52.982Z,7,130817,40,255,8,0f,20,20,20,20,20,20,20
2020-08-22T13:52:52.983Z,7,130817,40,255,8,10,20,20,ff,ff,ff,ff,ff
