Sequence #,Timestamp,PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
0,486942,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1,487017,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
2,487020,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
3,487042,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
4,487046,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
5,487050,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
6,487142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
7,487186,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
8,487190,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
9,487242,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
10,487246,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
11,487250,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
12,487342,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
13,487347,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
14,487352,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
15,487442,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
16,487480,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
17,487484,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
18,487542,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
19,487548,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
20,487552,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
21,487642,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
22,487649,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
23,487653,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
24,487742,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
25,487785,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
26,487789,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
27,487842,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
28,487851,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
29,487855,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
30,487942,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
31,487951,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF507AFF7FFF7FFD
32,487955,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
33,488042,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
34,488077,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
35,488081,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
36,488142,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
37,488153,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF527AFF7FFF7FFD
38,488159,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
39,488242,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
40,488253,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF517AFF7FFF7FFD
